Country or Area,"Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
Senegal,"2012","010111","Horses, live pure-bred breeding","Import","45918","4500","No Quantity",""
Senegal,"2012","010119","Horses, live except pure-bred breeding","Export","215","2","No Quantity",""
Senegal,"2012","010210","Bovine animals, live pure-bred breeding","Import","376256","30602","Number of items","183"
Senegal,"2012","010290","Bovine animals, live, except pure-bred breeding","Export","11475","10750","Number of items","12"
Senegal,"2012","010511","Fowls, live domestic < 185 grams","Export","21968","958","Number of items","6333"
Senegal,"2012","010511","Fowls, live domestic < 185 grams","Import","181645","2435","Number of items","56753"
Senegal,"2012","010519","Poultry, live except domestic fowls, < 185 grams","Export","16812","735","No Quantity",""
Senegal,"2012","010519","Poultry, live except domestic fowls, < 185 grams","Import","175881","7799","Number of items","48818"
Senegal,"2012","010599","Poultry, live except domestic fowls, > 185 grams","Export","126484","4740","Number of items","9904"
Senegal,"2012","010599","Poultry, live except domestic fowls, > 185 grams","Import","2192","85","Number of items","216"
Senegal,"2012","010600","Animals, live, except farm animals","Export","50926","3156","No Quantity",""
Senegal,"2012","010600","Animals, live, except farm animals","Import","145881","10290","No Quantity",""
Senegal,"2011","010210","Bovine animals, live pure-bred breeding","Import","108499","13225","Number of items","55"
Senegal,"2011","010290","Bovine animals, live, except pure-bred breeding","Import","185389","23878","Number of items","200"
Senegal,"2011","010290","Bovine animals, live, except pure-bred breeding","Export","2969","1800","Number of items","4"
Senegal,"2011","010310","Swine, live pure-bred breeding","Import","7552","280","Number of items","9"
Senegal,"2011","010410","Sheep, live","Export","2439","600","Number of items","29"
Senegal,"2011","010511","Fowls, live domestic < 185 grams","Export","12256","615","Number of items","3998"
Senegal,"2011","010511","Fowls, live domestic < 185 grams","Import","187048","2059","Number of items","54751"
Senegal,"2011","010519","Poultry, live except domestic fowls, < 185 grams","Import","242487","2730","Number of items","51411"
Senegal,"2011","010599","Poultry, live except domestic fowls, > 185 grams","Export","92739","4832","Number of items","13398"
Senegal,"2011","010600","Animals, live, except farm animals","Export","48562","4427","No Quantity",""
Senegal,"2011","010600","Animals, live, except farm animals","Import","166490","10242","No Quantity",""
Senegal,"2010","010111","Horses, live pure-bred breeding","Import","30640","12800","No Quantity",""
Senegal,"2010","010119","Horses, live except pure-bred breeding","Export","18186","11000","No Quantity",""
Senegal,"2010","010210","Bovine animals, live pure-bred breeding","Export","7072","3000","Number of items","4"
Senegal,"2010","010210","Bovine animals, live pure-bred breeding","Import","294436","38111","Number of items","158"
Senegal,"2010","010290","Bovine animals, live, except pure-bred breeding","Export","20762","7500","Number of items","25"
Senegal,"2010","010410","Sheep, live","Import","2345","530","Number of items","31"
Senegal,"2010","010420","Goats, live","Export","140","40","No Quantity",""
Senegal,"2010","010511","Fowls, live domestic < 185 grams","Import","106217","1498","Number of items","30835"
Senegal,"2010","010511","Fowls, live domestic < 185 grams","Export","8333","374","Number of items","2634"
Senegal,"2010","010519","Poultry, live except domestic fowls, < 185 grams","Import","49528","587","Number of items","11124"
Senegal,"2010","010519","Poultry, live except domestic fowls, < 185 grams","Export","104346","6124","Number of items","34920"
Senegal,"2010","010599","Poultry, live except domestic fowls, > 185 grams","Export","78055","4177","No Quantity",""
Senegal,"2010","010600","Animals, live, except farm animals","Import","144205","9241","No Quantity",""
Senegal,"2010","010600","Animals, live, except farm animals","Export","35793","2756","No Quantity",""
Senegal,"2009","010111","Horses, live pure-bred breeding","Import","71409","26300","No Quantity",""
Senegal,"2009","010119","Horses, live except pure-bred breeding","Export","106","25","No Quantity",""
Senegal,"2009","010210","Bovine animals, live pure-bred breeding","Import","491041","307295","Number of items","198"
Senegal,"2009","010290","Bovine animals, live, except pure-bred breeding","Export","29489","18000","Number of items","36"
Senegal,"2009","010410","Sheep, live","Import","1084","47","Number of items","13"
Senegal,"2009","010511","Fowls, live domestic < 185 grams","Export","24260","768","Number of items","7842"
Senegal,"2009","010511","Fowls, live domestic < 185 grams","Import","160746","2807","Number of items","51464"
Senegal,"2009","010519","Poultry, live except domestic fowls, < 185 grams","Import","87467","975","No Quantity",""
Senegal,"2009","010519","Poultry, live except domestic fowls, < 185 grams","Export","125594","33052","Number of items","29205"
Senegal,"2009","010599","Poultry, live except domestic fowls, > 185 grams","Export","75015","3125","No Quantity",""
Senegal,"2009","010600","Animals, live, except farm animals","Export","251586","29586","No Quantity",""
Senegal,"2009","010600","Animals, live, except farm animals","Import","118100","7120","No Quantity",""
Senegal,"2008","010111","Horses, live pure-bred breeding","Import","336898","28100","No Quantity",""
Senegal,"2008","010210","Bovine animals, live pure-bred breeding","Import","1802456","343295","Number of items","786"
Senegal,"2008","010290","Bovine animals, live, except pure-bred breeding","Export","32285","12500","Number of items","44"
Senegal,"2008","010391","Swine, live except pure-bred breeding < 50 kg","Export","198","33","Number of items","3"
Senegal,"2008","010410","Sheep, live","Export","17936","7000","Number of items","253"
Senegal,"2008","010511","Fowls, live domestic < 185 grams","Import","159611","2805","Number of items","70454"
Senegal,"2008","010511","Fowls, live domestic < 185 grams","Export","1009","45","Number of items","346"
Senegal,"2008","010519","Poultry, live except domestic fowls, < 185 grams","Import","188053","1939","No Quantity",""
Senegal,"2008","010519","Poultry, live except domestic fowls, < 185 grams","Export","263463","247860","Number of items","50073"
Senegal,"2008","010599","Poultry, live except domestic fowls, > 185 grams","Export","66187","3231","Number of items","13414"
Senegal,"2008","010600","Animals, live, except farm animals","Import","176886","9512","No Quantity",""
Senegal,"2008","010600","Animals, live, except farm animals","Export","92459","4017","No Quantity",""
Senegal,"2007","010111","Horses, live pure-bred breeding","Import","133086","20115","No Quantity",""
Senegal,"2007","010111","Horses, live pure-bred breeding","Export","3135","1500","No Quantity",""
Senegal,"2007","010210","Bovine animals, live pure-bred breeding","Import","204676","42435","Number of items","118"
Senegal,"2007","010210","Bovine animals, live pure-bred breeding","Export","3553","6500","Number of items","2"
Senegal,"2007","010290","Bovine animals, live, except pure-bred breeding","Import","78756","14670","Number of items","116"
Senegal,"2007","010290","Bovine animals, live, except pure-bred breeding","Export","22445","16180","Number of items","35"
Senegal,"2007","010310","Swine, live pure-bred breeding","Export","314","12","Number of items","1"
Senegal,"2007","010410","Sheep, live","Import","147717","23614","Number of items","1668"
Senegal,"2007","010420","Goats, live","Import","5469","1612","Number of items","76"
Senegal,"2007","010511","Fowls, live domestic < 185 grams","Import","235382","3848","No Quantity",""
Senegal,"2007","010511","Fowls, live domestic < 185 grams","Export","22201","1070","Number of items","8298"
Senegal,"2007","010519","Poultry, live except domestic fowls, < 185 grams","Export","102625","4503","No Quantity",""
Senegal,"2007","010519","Poultry, live except domestic fowls, < 185 grams","Import","91650","990","Number of items","22760"
Senegal,"2007","010599","Poultry, live except domestic fowls, > 185 grams","Export","35022","2355","No Quantity",""
Senegal,"2007","010599","Poultry, live except domestic fowls, > 185 grams","Import","4248","88","Number of items","646"
Senegal,"2007","010600","Animals, live, except farm animals","Import","154546","10980","No Quantity",""
Senegal,"2007","010600","Animals, live, except farm animals","Export","75198","3408","No Quantity",""
Senegal,"2006","010210","Bovine animals, live pure-bred breeding","Import","1005139","283513","No Quantity",""
Senegal,"2006","010210","Bovine animals, live pure-bred breeding","Export","3484","1140","Number of items","2"
Senegal,"2006","010410","Sheep, live","Import","15945","700","No Quantity",""
Senegal,"2006","010420","Goats, live","Import","1672","182","No Quantity",""
Senegal,"2006","010511","Fowls, live domestic < 185 grams","Import","111841","1357","Number of items","41747"
Senegal,"2006","010511","Fowls, live domestic < 185 grams","Export","35250","1935","Number of items","11309"
Senegal,"2006","010519","Poultry, live except domestic fowls, < 185 grams","Import","4581","230","No Quantity",""
Senegal,"2006","010519","Poultry, live except domestic fowls, < 185 grams","Export","85784","4605","Number of items","10321"
Senegal,"2006","010600","Animals, live, except farm animals","Import","183597","8952","No Quantity",""
Senegal,"2006","010600","Animals, live, except farm animals","Export","7923","445","No Quantity",""
Senegal,"2005","010210","Bovine animals, live pure-bred breeding","Import","178412","50000","Number of items","214"
Senegal,"2005","010210","Bovine animals, live pure-bred breeding","Export","64702","20400","Number of items","49"
Senegal,"2005","010290","Bovine animals, live, except pure-bred breeding","Export","533","190","Number of items","1"
Senegal,"2005","010420","Goats, live","Import","348","20","Number of items","8"
Senegal,"2005","010511","Fowls, live domestic < 185 grams","Import","58404","3576","Number of items","18804"
Senegal,"2005","010511","Fowls, live domestic < 185 grams","Export","26416","1425","Number of items","11416"
Senegal,"2005","010519","Poultry, live except domestic fowls, < 185 grams","Import","197573","7680","Number of items","49773"
Senegal,"2005","010519","Poultry, live except domestic fowls, < 185 grams","Export","171229","11720","Number of items","295681"
Senegal,"2005","010599","Poultry, live except domestic fowls, > 185 grams","Import","2558","206","Number of items","534"
Senegal,"2005","010599","Poultry, live except domestic fowls, > 185 grams","Export","105303","11412","Number of items","53535"
Senegal,"2005","010600","Animals, live, except farm animals","Import","243645","9591","Number of items","7647"
Senegal,"2005","010600","Animals, live, except farm animals","Export","368636","9744","Number of items","40496"
Senegal,"2004","010119","Horses, live except pure-bred breeding","Export","94","300","Number of items","0"
Senegal,"2004","010210","Bovine animals, live pure-bred breeding","Import","101293","32220","No Quantity",""
Senegal,"2004","010210","Bovine animals, live pure-bred breeding","Export","49724","6180","Number of items","35"
Senegal,"2004","010392","Swine, live except pure-bred breeding > 50 kg","Export","532492","66000","No Quantity",""
Senegal,"2004","010420","Goats, live","Export","198","400","No Quantity",""
Senegal,"2004","010511","Fowls, live domestic < 185 grams","Import","84020","6302","Number of items","31362"
Senegal,"2004","010511","Fowls, live domestic < 185 grams","Export","7104","330","Number of items","2279"
Senegal,"2004","010519","Poultry, live except domestic fowls, < 185 grams","Import","150710","5382","No Quantity",""
Senegal,"2004","010519","Poultry, live except domestic fowls, < 185 grams","Export","194097","6644","Number of items","23354"
Senegal,"2004","010599","Poultry, live except domestic fowls, > 185 grams","Export","239705","19124","No Quantity",""
Senegal,"2004","010600","Animals, live, except farm animals","Import","56508","2710","No Quantity",""
Senegal,"2004","010600","Animals, live, except farm animals","Export","214924","6901","No Quantity",""
Senegal,"2003","010210","Bovine animals, live pure-bred breeding","Import","227243","86298","Number of items","178"
Senegal,"2003","010290","Bovine animals, live, except pure-bred breeding","Import","180903","45120","Number of items","515"
Senegal,"2003","010410","Sheep, live","Import","7369","1590","No Quantity",""
Senegal,"2003","010420","Goats, live","Import","53756","5325","No Quantity",""
Senegal,"2003","010511","Fowls, live domestic < 185 grams","Import","109014","4334","Number of items","37355"
Senegal,"2003","010511","Fowls, live domestic < 185 grams","Export","17502","4860","Number of items","6993"
Senegal,"2003","010519","Poultry, live except domestic fowls, < 185 grams","Export","1499","490","No Quantity",""
Senegal,"2003","010519","Poultry, live except domestic fowls, < 185 grams","Import","48465","3543","Number of items","6645"
Senegal,"2003","010591","Fowls, live domestic > 185 grams","Import","119","8","No Quantity",""
Senegal,"2003","010600","Animals, live, except farm animals","Import","10135","361","No Quantity",""
Senegal,"2003","010600","Animals, live, except farm animals","Export","37538","1291","No Quantity",""
Senegal,"2002","010111","Horses, live pure-bred breeding","Import","22029","7812","Weight in kilograms","7812"
Senegal,"2002","010210","Bovine animals, live pure-bred breeding","Import","21957","12562","Weight in kilograms","12562"
Senegal,"2002","010210","Bovine animals, live pure-bred breeding","Export","2972","1312","Weight in kilograms","1312"
Senegal,"2002","010290","Bovine animals, live, except pure-bred breeding","Import","310","167","Weight in kilograms","167"
Senegal,"2002","010511","Fowls, live domestic < 185 grams","Import","96869","3125","Weight in kilograms","3125"
Senegal,"2002","010519","Poultry, live except domestic fowls, < 185 grams","Import","20579","2164","Weight in kilograms","2164"
Senegal,"2002","010519","Poultry, live except domestic fowls, < 185 grams","Export","3499","35","Weight in kilograms","35"
Senegal,"2002","010519","Poultry, live except domestic fowls, < 185 grams","Re-Export","3499","35","Weight in kilograms","35"
Senegal,"2002","010600","Animals, live, except farm animals","Import","11915","441","Weight in kilograms","441"
Senegal,"2001","010111","Horses, live pure-bred breeding","Import","34491","13680","Number of items","35"
Senegal,"2001","010210","Bovine animals, live pure-bred breeding","Import","64567","48600","Number of items","100"
Senegal,"2001","010410","Sheep, live","Import","2991","721","Number of items","6"
Senegal,"2001","010511","Fowls, live domestic < 185 grams","Import","172096","8088","Number of items","155636"
Senegal,"2001","010519","Poultry, live except domestic fowls, < 185 grams","Import","17553","1222","Number of items","23319"
Senegal,"2001","010591","Fowls, live domestic > 185 grams","Import","324","20","Number of items","9"
Senegal,"2001","010599","Poultry, live except domestic fowls, > 185 grams","Import","1285","309","Number of items","6"
Senegal,"2001","010600","Animals, live, except farm animals","Import","15536","610","Number of items","568"
Senegal,"2001","010600","Animals, live, except farm animals","Export","3009","85","Number of items","200"
Senegal,"2000","010111","Horses, live pure-bred breeding","Import","6338","2500","Weight in kilograms","2500"
Senegal,"2000","010119","Horses, live except pure-bred breeding","Import","1198","296","Weight in kilograms","296"
Senegal,"2000","010210","Bovine animals, live pure-bred breeding","Import","94205","80398","Weight in kilograms","80398"
Senegal,"2000","010511","Fowls, live domestic < 185 grams","Import","63265","5678","Weight in kilograms","5678"
Senegal,"2000","010519","Poultry, live except domestic fowls, < 185 grams","Import","35153","3993","Weight in kilograms","3993"
Senegal,"2000","010599","Poultry, live except domestic fowls, > 185 grams","Import","3164","156","Weight in kilograms","156"
Senegal,"2000","010600","Animals, live, except farm animals","Import","16613","518","Weight in kilograms","518"
Senegal,"2000","010600","Animals, live, except farm animals","Export","22831","483","Weight in kilograms","483"
Senegal,"1999","010111","Horses, live pure-bred breeding","Import","56954","5625","Weight in kilograms","5625"
Senegal,"1999","010119","Horses, live except pure-bred breeding","Import","1347","1000","Weight in kilograms","1000"
Senegal,"1999","010210","Bovine animals, live pure-bred breeding","Import","230657","116800","Weight in kilograms","116800"
Senegal,"1999","010410","Sheep, live","Import","10019","7718","Weight in kilograms","7718"
Senegal,"1999","010511","Fowls, live domestic < 185 grams","Import","291092","25061","Weight in kilograms","25061"
Senegal,"1999","010511","Fowls, live domestic < 185 grams","Export","559","40","Weight in kilograms","40"
Senegal,"1999","010519","Poultry, live except domestic fowls, < 185 grams","Import","14265","671","Weight in kilograms","671"
Senegal,"1999","010599","Poultry, live except domestic fowls, > 185 grams","Import","1293","128","Weight in kilograms","128"
Senegal,"1999","010600","Animals, live, except farm animals","Import","4158","148","Weight in kilograms","148"
Senegal,"1998","010111","Horses, live pure-bred breeding","Import","73958","19882","Weight in kilograms","19882"
Senegal,"1998","010119","Horses, live except pure-bred breeding","Export","1384","1194","Weight in kilograms","1194"
Senegal,"1998","010210","Bovine animals, live pure-bred breeding","Import","80983","28300","Weight in kilograms","28300"
Senegal,"1998","010410","Sheep, live","Import","1439","1500","Weight in kilograms","1500"
Senegal,"1998","010511","Fowls, live domestic < 185 grams","Import","229333","16307","Weight in kilograms","16307"
Senegal,"1998","010519","Poultry, live except domestic fowls, < 185 grams","Import","161547","12077","Weight in kilograms","12077"
Senegal,"1998","010591","Fowls, live domestic > 185 grams","Import","12654","148","Weight in kilograms","148"
Senegal,"1998","010599","Poultry, live except domestic fowls, > 185 grams","Import","5559","578","Weight in kilograms","578"
Senegal,"1998","010600","Animals, live, except farm animals","Import","2782","128","Weight in kilograms","128"
Senegal,"1997","010111","Horses, live pure-bred breeding","Import","7528","3125","Weight in kilograms","3125"
Senegal,"1997","010210","Bovine animals, live pure-bred breeding","Import","21667","25000","Weight in kilograms","25000"
Senegal,"1997","010511","Fowls, live domestic < 185 grams","Import","47480","3250","Weight in kilograms","3250"
Senegal,"1997","010519","Poultry, live except domestic fowls, < 185 grams","Import","225839","14077","Weight in kilograms","14077"
Senegal,"1997","010519","Poultry, live except domestic fowls, < 185 grams","Export","4771","214","Weight in kilograms","214"
Senegal,"1997","010591","Fowls, live domestic > 185 grams","Import","19528","164","Weight in kilograms","164"
Senegal,"1997","010599","Poultry, live except domestic fowls, > 185 grams","Import","9906","328","Weight in kilograms","328"
Senegal,"1997","010600","Animals, live, except farm animals","Import","1058","167","Weight in kilograms","167"
Senegal,"1996","010111","Horses, live pure-bred breeding","Import","26766","4562","Weight in kilograms","4562"
Senegal,"1996","010210","Bovine animals, live pure-bred breeding","Import","3517","5000","Weight in kilograms","5000"
Senegal,"1996","010290","Bovine animals, live, except pure-bred breeding","Import","2934","4187","Weight in kilograms","4187"
Senegal,"1996","010410","Sheep, live","Import","1172","597","Weight in kilograms","597"
Senegal,"1996","010511","Fowls, live domestic < 185 grams","Export","5529","1312","Weight in kilograms","1312"
Senegal,"1996","010519","Poultry, live except domestic fowls, < 185 grams","Import","7740","417","Weight in kilograms","417"
